ClassId,Name
0,Speed limit 20
1,Speed limit 30
2,Speed limit 50
3,Speed limit 60
4,Speed limit 70
5,Speed limit 80
6,End of speed limit 80
7,Speed limit 100
8,Speed limit 120
9,No passing
10,No passing for heavy vehicles
11,Right of way
12,Priority road
13,Yield
14,Stop
15,No vehicles
16,Heavy vehicles prohibited
17,No entry
18,General caution
19,Dangerous curve left
20,Dangerous curve right
21,Double curve
22,Bumpy road
23,Slippery road
24,Road narrows
25,Road work
26,Traffic signals
27,Pedestrians
28,Children crossing
29,Bicycle crossing
30,Beware of ice/snow